group,EU SWEDEN
ext,===== SWEDEN =====,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98086
ext,===== SW GENERAL =====,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98087
ext,SW: CORONA VIRUS INFO,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98088
ext,SW: SVT 1 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98089
ext,SW: SVT 2 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98090
ext,SW: TV3 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98091
ext,SW: TV4 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98092
ext,SW: KANAL 5 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98093
ext,SW: TV 6 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98094
ext,SW: SJUAN HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98095
ext,SW: TV8 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98096
ext,SW: KANAL 9 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98097
ext,SW: TV 10 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98098
ext,SW: KANAL 11 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98099
ext,SW: TV 12 HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98100
ext,SW: TV MALMÖ,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98101
ext,SW: TV4 FAKTA HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98102
ext,SW: TV 4 GULD HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98103
ext,SW: TV 4 FILM HD,http://mitvpro.online:25461/BBwJkdxLhDMRLcb/beaowBGKyshcMER/98104
